Date,prob_0_to_5,prob_0_to_neg5,prob_above_5,prob_below_neg5
2019-01-31,0.402625,0.371,0.13825,0.088125
2019-02-28,0.414375,0.344,0.15975,0.081875
2019-03-31,0.430625,0.3335,0.15075,0.085125
2019-04-30,0.42225,0.35225,0.144,0.0815
2019-05-31,0.407375,0.366875,0.137375,0.088375
2019-06-30,0.412125,0.362125,0.1405,0.08525
2019-07-31,0.407625,0.36725,0.13425,0.090875
2019-08-31,0.417125,0.348375,0.154,0.0805
2019-09-30,0.41675,0.35575,0.142375,0.085125
2019-10-31,0.39675,0.381,0.12625,0.096
2019-11-30,0.397,0.373375,0.12425,0.105375
2019-12-31,0.37875,0.404875,0.107875,0.1085
2020-01-31,0.384375,0.387625,0.11975,0.10825
2020-02-29,0.39875,0.37825,0.128625,0.094375
2020-03-31,0.37675,0.39625,0.115,0.112
2020-04-30,0.323875,0.419375,0.094875,0.161875
2020-05-31,0.35425,0.40575,0.104125,0.135875
2020-06-30,0.385,0.38225,0.12675,0.106
2020-07-31,0.397625,0.37025,0.129875,0.10225
2020-08-31,0.395625,0.37875,0.133,0.092625
2020-09-30,0.39275,0.3805,0.1205,0.10625
2020-10-31,0.389,0.3795,0.12775,0.10375
2020-11-30,0.390625,0.379375,0.12575,0.10425
2020-12-31,0.404,0.3615,0.147,0.0875
2021-01-31,0.398625,0.36425,0.14375,0.093375
2021-02-28,0.39,0.377875,0.12325,0.108875
2021-03-31,0.366,0.390625,0.115375,0.128
2021-04-30,0.383875,0.382625,0.123875,0.109625
2021-05-31,0.39625,0.366,0.1365,0.10125
2021-06-30,0.39425,0.37325,0.126375,0.106125
2021-07-31,0.40475,0.352,0.14625,0.097
2021-08-31,0.402125,0.357,0.1505,0.090375
2021-09-30,0.39725,0.35625,0.15425,0.09225
2021-10-31,0.406375,0.35925,0.1325,0.101875
2021-11-30,0.420875,0.331875,0.15525,0.092
2021-12-31,0.392625,0.3565,0.1465,0.104375
2022-01-31,0.409,0.32975,0.171875,0.089375
2022-02-28,0.376,0.371,0.146875,0.106125
2022-03-31,0.378375,0.385375,0.1275,0.10875
2022-04-30,0.393,0.35425,0.14825,0.1045
2022-05-31,0.36325,0.386125,0.128125,0.1225
2022-06-30,0.368125,0.388,0.12075,0.123125
2022-07-31,0.329625,0.409125,0.10825,0.153
2022-08-31,0.355875,0.392875,0.119375,0.131875
2022-09-30,0.341875,0.409125,0.10925,0.13975
2022-10-31,0.321875,0.417,0.107375,0.15375
2022-11-30,0.339375,0.40375,0.1195,0.137375
2022-12-31,0.37975,0.361,0.153625,0.105625
2023-01-31,0.37075,0.376,0.130875,0.122375
2023-02-28,0.367875,0.371625,0.13925,0.12125
2023-03-31,0.373625,0.3665,0.151,0.108875
2023-04-30,0.38925,0.361125,0.1455,0.104125
2023-05-31,0.386375,0.359375,0.146125,0.108125
2023-06-30,0.379,0.364875,0.145125,0.111
2023-07-31,0.3905,0.355875,0.15125,0.102375
2023-08-31,0.4045,0.344,0.14975,0.10175
2023-09-30,0.388875,0.364375,0.151,0.09575
2023-10-31,0.3925,0.35325,0.153125,0.101125
2023-11-30,0.406625,0.334125,0.16825,0.091
2023-12-31,0.390375,0.357875,0.152375,0.099375
2024-01-31,0.387875,0.360125,0.152,0.1
2024-02-29,0.4,0.34275,0.162,0.09525
2024-03-31,0.406375,0.339125,0.164,0.0905
2024-04-30,0.401125,0.341625,0.162125,0.095125
2024-05-31,0.413625,0.334125,0.163,0.08925
2024-06-30,0.421875,0.326125,0.170875,0.081125
2024-07-31,0.41925,0.32975,0.166625,0.084375
2024-08-31,0.414625,0.332,0.167125,0.08625
2024-09-30,0.41425,0.32925,0.165625,0.090875
2024-10-31,0.408125,0.346125,0.159,0.08675
2024-11-30,0.4205,0.3335,0.166,0.08
2024-12-31,0.430125,0.307625,0.177625,0.084625
2025-01-31,0.415125,0.325375,0.180875,0.078625
2025-02-28,0.43075,0.313875,0.178125,0.07725
2025-03-31,0.43475,0.293375,0.204125,0.06775
2025-04-30,0.42975,0.297,0.200625,0.072625
2025-05-31,0.4225,0.312125,0.188625,0.07675
2025-06-30,0.423875,0.311375,0.183375,0.081375
2025-07-31,0.42975,0.31225,0.17975,0.07825
2025-08-31,0.428625,0.310625,0.193625,0.067125
2025-09-30,0.42825,0.307625,0.1855,0.078625
2025-11-30,0.428875,0.31675,0.183375,0.071
2025-12-31,0.432125,0.30875,0.183,0.076125
2026-01-31,0.4305,0.315125,0.183,0.071375
