Date,prob_0_to_5,prob_0_to_neg5,prob_above_5,prob_below_neg5
2019-01-31,0.377,0.391,0.135,0.097
2019-02-28,0.419,0.35,0.154,0.077
2019-03-31,0.439,0.356,0.144,0.061
2019-04-30,0.398,0.36,0.157,0.085
2019-05-31,0.436,0.353,0.129,0.082
2019-06-30,0.424,0.363,0.131,0.082
2019-07-31,0.406,0.349,0.148,0.097
2019-08-31,0.425,0.348,0.14,0.087
2019-09-30,0.384,0.384,0.15,0.082
2019-10-31,0.402,0.376,0.125,0.097
2019-11-30,0.396,0.374,0.116,0.114
2019-12-31,0.358,0.42,0.105,0.117
2020-01-31,0.397,0.387,0.12,0.096
2020-02-29,0.396,0.383,0.119,0.102
2020-03-31,0.362,0.415,0.119,0.104
2020-04-30,0.285,0.451,0.098,0.166
2020-05-31,0.365,0.409,0.101,0.125
2020-06-30,0.382,0.381,0.128,0.109
2020-07-31,0.381,0.391,0.129,0.099
2020-08-31,0.42,0.362,0.123,0.095
2020-09-30,0.36,0.414,0.126,0.1
2020-10-31,0.387,0.374,0.123,0.116
2020-11-30,0.397,0.368,0.125,0.11
2020-12-31,0.421,0.355,0.142,0.082
2021-01-31,0.401,0.355,0.162,0.082
2021-02-28,0.389,0.372,0.144,0.095
2021-03-31,0.358,0.398,0.124,0.12
2021-04-30,0.403,0.402,0.109,0.086
2021-05-31,0.385,0.385,0.138,0.092
2021-06-30,0.381,0.397,0.133,0.089
2021-07-31,0.431,0.329,0.153,0.087
2021-08-31,0.4,0.347,0.143,0.11
2021-09-30,0.415,0.35,0.14,0.095
2021-10-31,0.385,0.368,0.13,0.117
2021-11-30,0.419,0.34,0.146,0.095
2021-12-31,0.398,0.349,0.146,0.107
2022-01-31,0.417,0.324,0.168,0.091
2022-02-28,0.392,0.347,0.153,0.108
2022-03-31,0.374,0.378,0.131,0.117
2022-04-30,0.361,0.377,0.164,0.098
2022-05-31,0.357,0.428,0.114,0.101
2022-06-30,0.382,0.348,0.123,0.147
2022-07-31,0.313,0.401,0.104,0.182
2022-08-31,0.337,0.37,0.143,0.15
2022-09-30,0.323,0.425,0.111,0.141
2022-10-31,0.346,0.404,0.093,0.157
2022-11-30,0.354,0.393,0.108,0.145
2022-12-31,0.403,0.334,0.153,0.11
2023-01-31,0.398,0.365,0.119,0.118
2023-02-28,0.379,0.351,0.147,0.123
2023-03-31,0.4,0.375,0.124,0.101
2023-04-30,0.407,0.356,0.141,0.096
2023-05-31,0.384,0.382,0.142,0.092
2023-06-30,0.406,0.359,0.126,0.109
2023-07-31,0.371,0.385,0.14,0.104
2023-08-31,0.388,0.336,0.181,0.095
2023-09-30,0.391,0.357,0.133,0.119
2023-10-31,0.387,0.366,0.153,0.094
2023-11-30,0.426,0.325,0.186,0.063
2023-12-31,0.432,0.353,0.138,0.077
2024-01-31,0.389,0.319,0.174,0.118
2024-02-29,0.408,0.336,0.151,0.105
2024-03-31,0.397,0.337,0.175,0.091
2024-04-30,0.379,0.361,0.166,0.094
2024-05-31,0.403,0.342,0.18,0.075
2024-06-30,0.413,0.306,0.195,0.086
2024-07-31,0.411,0.337,0.161,0.091
2024-08-31,0.422,0.357,0.144,0.077
2024-09-30,0.39,0.346,0.171,0.093
2024-10-31,0.384,0.364,0.156,0.096
2024-11-30,0.406,0.334,0.17,0.09
2024-12-31,0.418,0.31,0.179,0.093
2025-01-31,0.4,0.325,0.195,0.08
2025-02-28,0.404,0.333,0.191,0.072
2025-03-31,0.43,0.313,0.195,0.062
2025-04-30,0.41,0.32,0.206,0.064
2025-05-31,0.426,0.297,0.193,0.084
2025-06-30,0.42,0.312,0.185,0.083
2025-07-31,0.434,0.334,0.174,0.058
2025-08-31,0.41,0.337,0.193,0.06
2025-09-30,0.416,0.319,0.183,0.082
2025-11-30,0.431,0.285,0.186,0.098
2025-12-31,0.44,0.283,0.19,0.087
2026-01-31,0.426,0.315,0.198,0.061
